id,module,scenario,type,priority,method,endpoint,pre_condition,input,expected,remarks
"ADDR-004","会员","修改地址","scenario","P1","PUT","/p/address/updateAddr","test001 已登录 + addrId=10001 存在","{addrId:10001, receiver:'李四', ...}","返回 200 '修改地址成功' + DB 已更新","主链路"
"ADDR-005","会员","删除默认地址被拒","scenario","P1","DELETE","/p/address/deleteAddr/{addrId}","test001 + addrId=10001 commonAddr=1","DELETE /p/address/deleteAddr/10001","返回 500 '默认地址无法删除'","业务约束-AddrController.deleteDvy"
"ADDR-006","会员","删除非默认地址","scenario","P1","DELETE","/p/address/deleteAddr/{addrId}","test001 + addrId=10002 commonAddr=0","DELETE /p/address/deleteAddr/10002","返回 200 '删除地址成功'","主链路"
"ADDR-007","会员","设置默认地址","scenario","P0","PUT","/p/address/defaultAddr/{addrId}","test001 + addrId=10002 当前非默认","PUT /p/address/defaultAddr/10002","返回 200 + DB 中 10002 commonAddr=1 + 10001 commonAddr=0","主链路"
"ADDR-008","会员","参数校验 receiver 缺失","boundary","P2","POST","/p/address/addAddr","test001 已登录","{addrId:0, mobile:'13900000001', addr:'x', provinceId:1, cityId:2, areaId:3, province:'x', city:'x', area:'x'}","返回 400 '收货人不能为空'","参数校验-@NotNull receiver（CONTEXT §3 参数校验）"
"PERM-001","权限","前台用户访问 admin 接口被拒","scenario","P1","GET","/sys/user/page","前台 test001 token（无 sysUser 权限）","?page=1&size=10","返回 403 无权限","鉴权链-Spring Security @PreAuthorize（CONTEXT §3 鉴权链）"
"PERM-002","权限","超管访问 sys/role/list","scenario","P2","GET","/sys/role/list","超管已登录","无 body","返回 200 + List<SysRole>","主链路-@PreAuthorize('sys:role:list')"
"COMPAT-001","兼容性","Chrome 最新版 PC 端","compatibility","P0","MIXED","MIXED","Chrome ≥ 120 + Win11","完整下单流程（登录→商品→加购→结算→支付→收货）","所有页面渲染正常，接口 200，无 console error","兼容性-PC Chrome"
"COMPAT-002","兼容性","Edge 最新版 PC 端","compatibility","P2","MIXED","MIXED","Edge ≥ 120 + Win11","同上完整流程","所有页面渲染正常","兼容性-PC Edge"
"COMPAT-003","兼容性","Firefox 最新版 PC 端","compatibility","P1","MIXED","MIXED","Firefox ≥ 121 + Win11","同上完整流程","所有页面渲染正常（注意 SVG/CSS 兼容）","兼容性-PC Firefox"
"COMPAT-004","兼容性","Safari 最新版 Mac 端","compatibility","P1","MIXED","MIXED","Safari ≥ 17 + macOS Sonoma","同上完整流程","所有页面渲染正常（注意日期/支付组件兼容）","兼容性-PC Safari"
"COMPAT-005","兼容性","iOS Safari H5","compatibility","P2","MIXED","MIXED","iOS 17 Safari","完整下单流程","H5 页面渲染 + 微信支付跳转正常","兼容性-移动端 Safari"
"COMPAT-006","兼容性","Android Chrome H5","compatibility","P2","MIXED","MIXED","Android 14 Chrome","完整下单流程","H5 页面渲染 + 支付宝跳转正常","兼容性-移动端 Chrome"
"COMPAT-007","兼容性","弱网 3G","compatibility","P2","POST","/p/order/submit","Chrome DevTools throttle 3G + test001 已登录","{orderShopParam:[{shopId:1}]}","提交按钮 loading 状态保持，最终成功或超时提示","兼容性-弱网"
"COMPAT-008","兼容性","断网重连","compatibility","P2","POST","/p/order/submit","提交过程中关闭 Wi-Fi 后恢复","{orderShopParam:[{shopId:1}]}","前端应捕获网络异常并允许重试","兼容性-断网"
"COMPAT-009","兼容性","慢响应 5s+","compatibility","P2","GET","/p/myOrder/myOrder","DevTools throttle 5000ms latency","?status=0","页面显示 loading 不应白屏，超时后友好提示","兼容性-慢响应"
"COMPAT-010","兼容性","超长字符串 10000 字符","boundary","P2","PUT","/p/user/setUserInfo","test001 已登录","{nickName:'x'*10000, avatarUrl:'https://oss.x.com/a.jpg'}","返回 200 或 400（依赖 DB 字段长度）","边界值-超长输入"
"COMPAT-011","兼容性","特殊字符 emoji","boundary","P2","PUT","/p/user/setUserInfo","test001 已登录","{nickName:'用户😀🎉'}","返回 200 + DB 正确存储（utf8mb4）","边界值-emoji"
"COMPAT-012","兼容性","SQL 注入尝试","security","P0","POST","/p/address/addAddr","test001 已登录","{addrId:0, receiver:""' OR 1=1 --"", mobile:'13900000001', provinceId:1, cityId:2, areaId:3, province:'x', city:'x', area:'x'}","返回 400 而非全表泄露","SQL 注入-AddrParam 字段（CONTEXT §3 安全）"
"COMPAT-013","兼容性","XSS 注入尝试","security","P0","PUT","/p/user/setUserInfo","test001 已登录","{nickName:'<script>alert(1)</script>', avatarUrl:''}","返回 200 但 DB escape 后存储，前端展示安全","XSS-UserInfoParam.nickName（CONTEXT §3 安全）"
"COMPAT-014","兼容性","金额 0.01 元","boundary","P1","POST","/p/order/pay","订单金额 = 0.01","{orderNumbers:'O_MIN', payType:1}","返回 200 + 支付成功（最小金额）","边界值-最小金额"
"COMPAT-015","兼容性","金额 999999.99 元","boundary","P1","POST","/p/order/pay","订单金额 = 999999.99","{orderNumbers:'O_MAX', payType:1}","返回 200 + 支付成功（大额）","边界值-大额"
"COMPAT-016","兼容性","金额负数","boundary","P0","POST","/p/order/pay","订单金额 = -100","{orderNumbers:'O_NEG', payType:1}","返回 500 业务异常（订单金额不能为负）","边界值-负数"
"COMPAT-017","兼容性","金额 0 元","boundary","P0","POST","/p/order/pay","订单金额 = 0","{orderNumbers:'O_ZERO', payType:1}","返回 500 业务异常（订单金额不能为 0）","边界值-0"
"COMPAT-018","兼容性","中文昵称/地址","compatibility","P2","POST","/p/address/addAddr","test001 已登录","{addrId:0, receiver:'张三', addr:'广州市天河区中山大道 123 号', provinceId:1, cityId:2, areaId:3, province:'广东省', city:'广州市', area:'天河区', mobile:'13900000001', postCode:'510000'}","返回 200 + DB 正确存储 utf8mb4","国际化-中文"
"COMPAT-019","兼容性","英文昵称/地址","compatibility","P2","POST","/p/address/addAddr","test001 已登录","{addrId:0, receiver:'John Smith', addr:'123 Main Street, Apt 4B', provinceId:1, cityId:2, areaId:3, province:'CA', city:'LA', area:'Downtown', mobile:'13900000001', postCode:'90001'}","返回 200 + DB 正确存储","国际化-英文"
"COMPAT-020","兼容性","中英数字混排 + URL 编码","compatibility","P2","POST","/p/address/addAddr","test001 已登录","{addrId:0, receiver:'张三 John 100', addr:'%E5%B9%BF%E5%B7%9E 100 号', provinceId:1, cityId:2, areaId:3, province:'广东省', city:'广州市', area:'天河区', mobile:'13900000001', postCode:'510000'}","返回 200 + 后端正确解码 URL 编码字段","国际化-混排+URL 编码"
